game_id,nickname,score,bot_nickname,bot_score,bot_rating,rating
64,snorkl,336,STEEBot,440,2080,1864
66,kar2008,287,BetterBot,528,1740,1761
67,stevy,365,STEEBot,454,1843,1500
71,Cromwell8,482,BetterBot,234,1966,1830
72,halidom21,401,BetterBot,364,1998,2288
73,bobcubed,326,BetterBot,387,1585,1659
74,BB-8,340,HastyBot,446,1649,1500
75,Affan960,526,STEEBot,444,2166,2021
76,Yracivc,390,STEEBot,415,2195,2145
77,thisguy,394,HastyBot,374,1936,1817
79,plunder1,347,STEEBot,373,1841,1629
80,Hetman,440,HastyBot,398,2237,1887
81,dystopianist,316,STEEBot,418,1864,1714
83,Banman1,260,STEEBot,506,1918,1626
84,joelimus,452,HastyBot,447,2057,2068
87,pandorable,390,BetterBot,366,1887,1659
88,Anita,319,STEEBot,423,1878,1630
89,MasterYeri,374,STEEBot,409,2122,2011
95,Zepthyeo,293,BetterBot,495,1916,1332
96,josh,240,HastyBot,441,1943,1583
97,Sopejohn,415,STEEBot,509,2077,1838
98,TrentonTron,531,HastyBot,628,1779,1627
99,wagyus,455,STEEBot,429,2103,1974
101,BB-8,327,HastyBot,391,1649,1500
104,pandorable,329,BetterBot,570,1837,1762
105,ccm,408,HastyBot,431,1977,1698
106,patricck,482,BetterBot,321,1967,2275
108,sassaba,331,BetterBot,418,1716,1453
109,davidavid,291,BetterBot,386,2030,1877
111,peter3000,457,HastyBot,491,2229,2160
112,Camelngz,465,STEEBot,322,2039,1851
113,NoelL,440,HastyBot,474,2219,1997
114,BeautifulWaste,236,STEEBot,635,2065,1801
115,Anita,282,STEEBot,418,1853,1612
116,BeanzCyclones,407,STEEBot,508,2164,1919
117,ccm,393,HastyBot,567,1972,1730
118,ChrisNtege,309,HastyBot,500,2272,1977
120,kushy,275,STEEBot,491,2029,1499
122,deathstar,370,STEEBot,363,1893,1607
123,saint,357,STEEBot,392,1856,1977
124,pisces223,314,STEEBot,400,1859,1646
126,yss,318,BetterBot,424,2025,1924
127,Trayz,380,STEEBot,429,2064,1965
128,daddyfiyin,470,HastyBot,451,2349,1993
129,psyadam,436,BetterBot,422,1634,1735
132,BB-8,346,HastyBot,514,1614,1500
133,Anita,340,STEEBot,463,1877,1614
134,gerald0506,503,STEEBot,450,2108,1999
136,NimuthuWitharana,421,STEEBot,372,2180,2147
140,buksss,355,BetterBot,396,2054,1461
141,BB-8,351,HastyBot,331,1649,1500
142,MankDemes,389,BetterBot,407,1976,1500
143,stevy,306,BetterBot,356,1619,1500
144,Banman1,375,STEEBot,417,1838,1618
146,Stanley,191,HastyBot,405,2231,2063
147,talulah,349,STEEBot,478,1893,1576
148,NishanyaGammanpila,457,BetterBot,367,1977,1840
149,Stanley,523,HastyBot,433,2188,2177
150,Galion,313,BetterBot,414,1798,1589
153,bubbat,408,HastyBot,455,2046,1816
154,lluke,344,BetterBot,444,1970,2109
156,Adhen,435,STEEBot,403,2106,1755
157,patricck,428,BetterBot,395,2006,2178
158,Leo,290,STEEBot,414,1868,1710
159,Willeford,388,STEEBot,444,1834,1843
160,BB-8,419,HastyBot,415,1614,1500
163,MomGoose,394,BetterBot,323,1697,1641
164,roboto,267,BetterBot,288,1751,1500
165,ooo999999,343,STEEBot,418,1854,1388
166,BB-8,396,HastyBot,499,1649,1500
169,Olympicnaija,430,STEEBot,448,2099,1904
170,pandorable,332,BetterBot,397,1848,1640
171,ruby43,471,BetterBot,357,1704,1590
172,royster,414,HastyBot,515,1999,1784
174,Kovert,339,BetterBot,452,1694,1764
176,BB-8,268,HastyBot,478,1649,1500
178,BethMix,376,HastyBot,417,1961,1493
179,Modupe,353,BetterBot,370,1978,1910
180,BB-8,412,HastyBot,376,1614,1500
181,Bingobabe,322,BetterBot,425,1667,1424
182,kar2008,447,BetterBot,429,1675,1842
183,BB-8,382,HastyBot,288,1640,1500
185,Rexington,375,STEEBot,479,2080,2116
186,NatthanonL,470,STEEBot,410,2137,2031
187,Olympicnaija,424,STEEBot,461,2179,1926
189,Lola,434,STEEBot,498,2148,1965
190,royster,399,HastyBot,444,2059,1734
192,FuriousTiles,377,HastyBot,431,2047,1807
193,kar2008,422,BetterBot,376,1685,1699
194,Goldenlamb,516,STEEBot,457,2092,1935
196,BeautifulWaste,233,BetterBot,407,2087,1816
197,twjiayu,300,HastyBot,583,2169,1554
199,BB-8,442,HastyBot,366,1614,1500
202,BB-8,414,HastyBot,403,1664,1500
203,inkylap,268,BetterBot,416,1637,1310
204,Abdulmumin,339,HastyBot,573,2259,2245
205,Uzams,408,STEEBot,483,2170,1834
209,vannandonly,452,HastyBot,477,2220,2120
210,HivinD,369,STEEBot,446,2102,2072
211,jasonkb,423,HastyBot,413,2199,1708
214,BB-8,428,HastyBot,368,1614,1500
215,BethMix,290,STEEBot,427,1834,1603
216,Anita,430,BetterBot,364,1730,1542
217,BB-8,364,HastyBot,397,1649,1500
218,BB-8,341,HastyBot,435,1640,1500
220,bubbat,508,HastyBot,321,1982,1790
222,Trayz,410,STEEBot,385,2077,1956
224,MagiKrap,468,BetterBot,340,2084,1947
225,The_Master,323,BetterBot,418,1988,1912
226,forwords,445,BetterBot,381,1977,2185
227,Kakapo,399,STEEBot,364,1899,1941
228,ahmadthegreat,388,STEEBot,361,2191,1973
229,pandorable,356,BetterBot,357,1847,1754
233,pandorable,398,BetterBot,332,1957,1585
234,Matt_86,353,BetterBot,409,1956,1885
236,Mollygardner,251,STEEBot,443,1882,1511
237,BeautifulWaste,306,BetterBot,398,1967,1781
241,Wildgarlic,365,STEEBot,436,1844,1716
242,BB-8,305,HastyBot,435,1664,1500
245,shreyas3,376,HastyBot,529,2214,1725
246,joeboy2,415,STEEBot,291,1888,1670
247,BB-8,313,HastyBot,385,1640,1500
248,BobVanech,383,BetterBot,476,1652,1577
249,bbharath,390,STEEBot,469,2156,1872
250,gameatiruth,544,HastyBot,426,2252,2143
252,meetsumeet,447,STEEBot,449,2017,1929
253,Goldenlamb,292,STEEBot,418,2147,2043
254,paterae,591,BetterBot,254,1891,2074
257,MankDemes,434,BetterBot,339,1902,1500
260,MasterYeri,459,STEEBot,501,2158,1991
266,BB-8,331,HastyBot,477,1614,1500
267,TheGidfather,330,BetterBot,304,1681,1494
268,Goldenlamb,419,STEEBot,381,2112,2033
271,BB-8,350,HastyBot,354,1649,1500
272,Loeloeraai,370,BetterBot,342,2094,1725
274,kar2008,469,BetterBot,459,1657,1823
275,Marble_Donut,370,HastyBot,460,1998,1852
277,Goldenlamb,357,STEEBot,430,2098,2019
279,BB-8,357,HastyBot,283,1664,1500
280,Xerxes,336,BetterBot,366,2070,1884
282,Kovert,391,BetterBot,507,1633,1771
283,PVMG,446,BetterBot,481,1901,1922
284,dathanl,352,BetterBot,320,1651,1609
287,rak1507,306,STEEBot,461,2180,2026
289,jason141414,397,HastyBot,444,2174,1957
290,frs,489,BetterBot,333,1680,1732
292,sbush,405,STEEBot,418,1849,1829
293,Raven10,425,HastyBot,536,2180,1947
294,NatthanonL,411,STEEBot,392,2143,2010
297,akiff_faleel,397,STEEBot,584,2124,2034
298,BB-8,365,HastyBot,370,1649,1500
299,BillooBhai_Pak,407,HastyBot,435,2210,2032
300,BB-8,360,HastyBot,352,1664,1500
301,arjun15,446,BetterBot,398,2015,1812
302,Lola,319,STEEBot,533,2124,1900
303,MSHS-21KADMUSLEE,359,STEEBot,391,2082,1896
304,saint,354,STEEBot,387,1920,1982
306,Rexington,430,STEEBot,393,2016,2088
308,Inandoutworker,509,HastyBot,389,2206,1530
311,davidavid,404,BetterBot,373,2064,1832
313,Rexington,469,STEEBot,385,2082,2037
314,djMikSlay,319,BetterBot,398,1929,2009
315,akiff_faleel,369,STEEBot,419,2135,2035
316,BethMix,352,STEEBot,498,1845,1608
317,Indominus,508,HastyBot,405,2224,2182
318,BB-8,447,HastyBot,371,1614,1500
319,shaneabbas,444,STEEBot,513,2155,1921
321,mytbear,372,HastyBot,567,2223,2084
325,MSHS-21KADMUSLEE,301,STEEBot,529,2062,1808
326,RomeoRat,356,STEEBot,465,1863,1637
328,NoelL,427,HastyBot,494,2180,2066
331,jocelot,456,BetterBot,362,1726,1552
332,halidom21,367,BetterBot,348,1909,2154
336,thraoph,322,HastyBot,573,2255,2031
337,Goldenwick,319,BetterBot,408,1674,1386
339,BB-8,384,HastyBot,441,1640,1500
340,BB-8,338,HastyBot,424,1615,1500
341,cudbear,442,STEEBot,421,2102,2056
343,jaundiced,478,STEEBot,384,1813,1764
344,BB-8,318,HastyBot,381,1615,1500
345,Muendo,325,HastyBot,426,2231,1397
348,Anita,291,STEEBot,426,1875,1623
349,rak1507,318,HastyBot,459,2262,2025
352,shcheah,368,HastyBot,488,2265,2112
353,davidavid,312,BetterBot,413,1967,1836
355,Sopejohn,287,STEEBot,535,2175,1823
356,Camelngz,382,STEEBot,418,2131,1952
357,Kovert,330,BetterBot,354,1648,1764
358,Gewgaw,325,BetterBot,369,1959,1895
359,joelimus,341,HastyBot,407,2107,2019
360,akiff_faleel,347,BetterBot,329,1958,2078
362,AWFUL,458,STEEBot,355,2092,2208
363,Kaumadee,332,BetterBot,462,2025,1836
364,BB-8,311,HastyBot,360,1649,1500
365,MarieDee,507,BetterBot,314,1936,1975
367,busker221,348,HastyBot,475,2243,2057
368,Dianaros,213,HastyBot,403,2254,1145
370,Yuki86,202,BetterBot,470,2015,1262
372,NimuthuWitharana,377,BetterBot,329,1931,2181
373,Banman1,431,STEEBot,343,1830,1658
377,NurdiniDelisha,313,BetterBot,435,1964,1999
379,NdiranguKaranjq,260,BetterBot,465,1975,1241
380,snorkl,393,STEEBot,438,2088,1929
381,BeanzCyclones,410,STEEBot,531,2094,1956
382,sungoer,465,HastyBot,405,2043,1843
383,chrisdon8tsalot,370,BetterBot,415,1768,1671
384,kar2008,379,BetterBot,349,1754,1782
385,Pasindu,298,BetterBot,461,2009,2030
387,tarkovsky7,398,HastyBot,471,2061,1877
388,sarainvt,285,STEEBot,406,1892,1589
390,kar2008,473,BetterBot,476,1623,1798
391,Rlowengrub,167,HastyBot,512,2032,1253
392,Meith,431,BetterBot,357,1969,2042
393,squashy,502,BetterBot,350,1991,1815
394,BeautifulWaste,337,BetterBot,424,1985,1831
395,shaunthesheep,428,STEEBot,478,2123,1943
396,Banman1,315,STEEBot,425,1836,1653
397,magic29,383,BetterBot,368,1884,2035
399,Goldenlamb,450,STEEBot,356,2178,2002
404,Q-Q,440,BetterBot,390,1980,2037
405,Crookshanks,306,STEEBot,546,2054,2059
406,UcheVictor,222,STEEBot,493,2144,1951
407,ChrisOB,416,HastyBot,421,2213,2041
408,tarkovsky7,479,HastyBot,348,2011,1913
409,akiff_faleel,350,STEEBot,465,2163,2044
411,sassaba,300,BetterBot,402,1644,1446
413,Crookshanks,390,BetterBot,366,1929,1912
414,inshal,420,HastyBot,421,2268,1844
415,Kii,376,STEEBot,574,2160,1781
417,Goldenlamb,460,STEEBot,470,2140,2055
421,Banman1,390,STEEBot,411,1871,1710
422,pandorable,280,BetterBot,478,1841,1598
423,kfraley,424,STEEBot,378,1844,1952
424,TheGidfather,351,BetterBot,402,1709,1553
426,Crookshanks,469,BetterBot,268,1979,1992
427,BB-8,481,HastyBot,318,1640,1500
430,SirFink,336,STEEBot,372,1866,1420
431,Sopejohn,406,STEEBot,451,2152,1833
432,spark1,350,STEEBot,450,1865,1606
433,DDarien,330,STEEBot,515,2150,1881
434,Gazzu,555,STEEBot,302,1850,1719
436,Rexington,390,STEEBot,373,2123,2005
437,ccm,464,HastyBot,328,1956,1752
438,Sopejohn,376,STEEBot,449,2137,1823
440,talulah,386,STEEBot,372,1837,1579
442,busker221,354,HastyBot,540,2141,2065
444,ZeMing,445,BetterBot,361,1980,1947
445,MarieDee,399,BetterBot,441,1976,2025
447,ccm,307,HastyBot,490,1977,1778
448,patricck,417,BetterBot,323,2010,2279
449,BethMix,355,HastyBot,425,2039,1555
453,bubbat,420,HastyBot,470,1931,1796
454,davidavid,392,BetterBot,346,1943,1823
455,bbharath,287,STEEBot,460,2116,1872
457,BB-8,398,HastyBot,391,1664,1500
458,saint,349,STEEBot,428,1843,1944
459,Matt_86,359,HastyBot,430,2216,1957
460,Mollygardner,372,STEEBot,509,1791,1521
461,BB-8,513,HastyBot,304,1614,1500
467,Ibrahim28,285,BetterBot,477,1854,1464
468,BB-8,406,HastyBot,423,1614,1500
471,buksss,391,BetterBot,424,2044,1461
474,thisguy,496,HastyBot,382,2084,1832
475,Toronto2,255,BetterBot,414,1755,1464
480,deathstar,322,STEEBot,485,1858,1595
484,Matt_86,443,BetterBot,375,2018,2041
486,Cepheid,478,HastyBot,406,2323,1721
489,Galena,382,BetterBot,385,1749,1523
491,pisces223,368,STEEBot,383,1858,1576
492,bubbat,313,HastyBot,487,2013,1777
493,rak1507,348,HastyBot,500,2107,2098
494,Fabio,443,HastyBot,484,2053,2026
495,Gimhan04,302,BetterBot,442,1968,1719
496,talulah,389,STEEBot,349,1787,1583
497,joelimus,437,HastyBot,552,2116,2009
498,Meith,438,BetterBot,365,1927,2083
499,Goldenwick,300,BetterBot,360,1651,1345
501,Sopejohn,385,STEEBot,556,2187,1823
502,Glilac,503,BetterBot,336,1944,2014
503,Kovert,415,BetterBot,335,1710,1704
504,magic29,403,BetterBot,332,2018,1978
505,Goldenlamb,439,STEEBot,422,2110,2026
506,PENapasa,326,BetterBot,449,1939,1862
507,noahslat,448,HastyBot,436,2241,1867
510,sbush,410,HastyBot,379,2033,1837
511,UcheVictor,518,STEEBot,383,2124,1948
513,kenting,425,BetterBot,353,1955,1966
514,MarvinK,467,STEEBot,322,1846,1746
515,pisces223,309,STEEBot,409,1892,1646
516,NoelL,332,HastyBot,491,2214,2067
517,Baphead,344,HastyBot,454,2218,1790
519,Vidyam,217,BetterBot,362,1941,1297
521,BB-8,324,HastyBot,485,1664,1500
524,arunwoogles,225,BetterBot,658,1930,1549
525,Possibilites,464,HastyBot,418,2306,1868
526,MSHS-21KADMUSLEE,356,STEEBot,568,2138,1849
527,ericdp,463,HastyBot,441,2212,1703
529,Goldenwick,388,BetterBot,353,1686,1350
531,BB-8,415,HastyBot,314,1664,1500
532,gameatiruth,451,HastyBot,490,2224,2163
535,Lydker,480,BetterBot,375,1723,1746
536,BethMix,164,HastyBot,441,2039,1571
537,BB-8,400,HastyBot,436,1614,1500
538,BB-8,425,HastyBot,320,1664,1500
539,LeChamp21,325,BetterBot,407,1990,1695
540,orlyns,321,STEEBot,413,2239,2092
541,RightBehindYou,437,HastyBot,399,2178,2137
543,Anita,428,STEEBot,389,1855,1537
545,rak1507,433,STEEBot,469,2040,1924
547,Crookshanks,321,BetterBot,354,2084,1935
548,Raihan,247,BetterBot,398,2012,1698
549,pandorable,303,BetterBot,405,1895,1649
552,Yasiru,350,BetterBot,345,1975,2024
553,Lydker,408,BetterBot,369,1673,1663
554,paterae,503,BetterBot,338,1972,2085
555,Bright,409,HastyBot,575,2100,1794
556,Rexington,369,STEEBot,350,2132,2117
557,shaunthesheep,421,STEEBot,471,2137,1954
558,ZARAKHAN,347,BetterBot,383,2014,1620
561,Knight2014,274,BetterBot,374,1894,1816
562,RKS,390,STEEBot,461,2131,1719
564,deathstar,330,STEEBot,495,1839,1652
565,BB-8,345,HastyBot,361,1615,1500
567,Esan,396,HastyBot,356,2178,2101
568,Zynx,344,BetterBot,459,1977,1902
570,Rexington,323,STEEBot,350,2081,2058
571,Glilac,342,STEEBot,478,2096,2012
572,Willeford,463,STEEBot,430,1830,1824
575,BB-8,392,HastyBot,373,1635,1500
576,Swaits,417,BetterBot,429,1696,1541
577,BB-8,393,HastyBot,436,1664,1500
580,Vishy56789,440,HastyBot,416,1999,1716
581,Matt_86,368,BetterBot,311,1969,1962
582,Goldenwick,310,BetterBot,358,1670,1384
583,iamnotbill,386,HastyBot,486,1987,1824
584,Okosagah,447,HastyBot,507,2246,2177
585,Lola,408,STEEBot,396,2146,1986
586,Kovert,400,BetterBot,377,1692,1763
587,The_Master,372,BetterBot,469,1948,1916
588,Jayallard,459,STEEBot,345,2076,1693
590,patricck,384,BetterBot,396,1977,2183
591,paterae,445,BetterBot,333,2020,2109
592,wagyu,472,BetterBot,270,1930,1980
593,jocelot,349,BetterBot,342,1653,1556
596,Hercules,361,STEEBot,419,1836,1783
597,Kovert,321,BetterBot,440,1683,1714
598,Omoyedivine,359,STEEBot,462,2075,2014
600,BB-8,369,HastyBot,412,1614,1500
602,Esan,408,HastyBot,481,2222,2112
603,Stanley,495,HastyBot,499,2141,2160
604,Soybadz01,419,BetterBot,346,2017,1906
606,BB-8,422,HastyBot,329,1615,1500
607,magic29,414,BetterBot,312,1895,1979
609,MYJTehx,358,BetterBot,416,2067,1882
611,Kovert,413,BetterBot,404,1676,1769
612,forwords,367,BetterBot,394,1949,2146
613,Scrabbler17,354,BetterBot,447,1966,1801
614,wagyus,473,STEEBot,423,2147,2007
615,mytbear,442,HastyBot,482,2279,2068
617,PENapasa,408,BetterBot,293,2010,1824
618,AqilZafran,490,BetterBot,273,1979,1406
620,TrentonTron,434,HastyBot,420,1990,1983
621,Munyama,359,STEEBot,353,2239,1710
622,atay8,442,STEEBot,485,2108,2175
623,BB-8,255,HastyBot,506,1615,1500
624,Banman1,397,STEEBot,390,1823,1630
625,BB-8,314,HastyBot,439,1640,1500
626,MSHS-21KADMUSLEE,434,STEEBot,331,2153,1837
627,Camelngz,360,STEEBot,454,2141,1896
628,gregthaopenny,437,BetterBot,408,1644,1641
629,BB-8,454,HastyBot,307,1640,1500
630,220674_ZAVEPHUA,347,HastyBot,412,2241,1647
632,Abdulmumin,387,STEEBot,484,2079,2149
634,BB-8,309,HastyBot,471,1615,1500
635,BB-8,425,HastyBot,394,1614,1500
637,Matt_86,545,HastyBot,390,2235,1957
638,saracen256,333,HastyBot,556,2268,1873
640,Uzams,415,STEEBot,320,2118,1782
641,meetsumeet,427,STEEBot,457,2034,1945
642,kar2008,523,BetterBot,388,1696,1794
643,UMIAQ,350,HastyBot,473,2266,2102
645,BB-8,261,HastyBot,452,1640,1500
646,MankDemes,327,BetterBot,415,1928,1500
648,Matt_86,422,HastyBot,438,2228,1952
649,xinjiechin,416,BetterBot,365,1991,1605
653,MobileJim,368,HastyBot,439,2197,2039
654,pandorable,366,BetterBot,373,1843,1678
656,Esan,474,HastyBot,520,2204,2065
657,snorkl,359,STEEBot,475,2108,1883
658,PVMG,376,BetterBot,363,1954,1959
660,stevy,443,BetterBot,387,1738,1500
661,rqts,292,BetterBot,445,2000,1704
662,Torquayfan2303,369,BetterBot,438,1902,2078
664,Yuki86,205,BetterBot,538,1985,1266
665,Goldenwick,270,BetterBot,329,1733,1306
666,HivinD,421,BetterBot,319,1926,2016
667,NurdiniDelisha,289,BetterBot,429,1998,1999
669,cityboy,388,STEEBot,445,1813,1724
670,talulah,343,STEEBot,513,1837,1579
671,rqts,399,BetterBot,447,1926,1654
673,BB-8,368,HastyBot,483,1615,1500
674,frs,403,BetterBot,403,1625,1755
675,patricck,409,BetterBot,422,2055,2282
676,shcheah,369,HastyBot,422,2253,2089
677,jesusbeloved,390,HastyBot,514,2230,2019
678,Leo,402,STEEBot,463,1862,1734
679,squashy,349,BetterBot,368,2093,2078
681,pandorable,222,BetterBot,458,1884,1640
682,Goldenlamb,398,STEEBot,523,2164,1942
684,BB-8,322,HastyBot,441,1664,1500
686,jaundiced,415,HastyBot,483,2031,1892
687,Inandoutworker,455,HastyBot,414,2184,1507
689,Yuki86,232,BetterBot,433,1913,1271
690,Glilac,367,HastyBot,491,2264,2048
691,YLT,369,STEEBot,393,2088,1879
692,talulah,405,STEEBot,378,1818,1625
694,josh,316,HastyBot,466,1976,1521
695,Esan,437,HastyBot,457,2248,2136
696,bonehead,420,HastyBot,472,1995,1939
697,Goldenwick,362,BetterBot,406,1659,1347
698,BB-8,302,HastyBot,373,1640,1500
699,BB-8,394,HastyBot,362,1614,1500
701,Mimix,290,BetterBot,373,2075,1799
704,lsutiger,327,BetterBot,348,1653,1711
705,Kovert,396,BetterBot,376,1696,1798
706,YLT,376,STEEBot,481,2189,1879
707,Matt_86,372,HastyBot,592,2187,1957
709,reinked,440,STEEBot,450,2124,1903
711,BB-8,356,HastyBot,519,1614,1500
712,jaundiced,437,STEEBot,412,1897,1858
715,BB-8,326,HastyBot,456,1664,1500
716,Kovert,350,BetterBot,377,1712,1746
717,BB-8,431,HastyBot,348,1614,1500
718,talulah,470,STEEBot,360,1867,1564
720,noahslat,467,HastyBot,470,2283,1900
721,Indominus,392,HastyBot,582,2310,2190
722,Fassie,258,STEEBot,484,2120,1597
724,TrentonTron,379,HastyBot,475,2009,1912
725,saracen256,351,HastyBot,458,2275,1860
726,Esan,399,HastyBot,514,2274,2111
727,ccm,395,HastyBot,477,1969,1687
728,Edemaro,306,HastyBot,521,2188,1833
731,jaundiced,475,HastyBot,376,2065,1899
732,IlmanHaziq,271,BetterBot,463,2082,1758
733,BB-8,356,HastyBot,410,1664,1500
734,josh,367,HastyBot,459,1971,1529
735,Scrabble_Enjoyer27,274,BetterBot,552,2011,1768
736,eideticeve,324,HastyBot,516,2276,1913
737,davidavid,353,BetterBot,367,1980,1838
743,BB-8,392,HastyBot,430,1640,1500
745,Rlowengrub,227,HastyBot,366,1942,1253
746,sbush,356,HastyBot,589,2020,1817
749,snorkl,252,STEEBot,526,2132,1905
750,BB-8,393,HastyBot,320,1614,1500
751,Rexington,658,STEEBot,342,2102,2098
752,Zynx,330,BetterBot,516,1994,1874
755,Jokker,320,BetterBot,364,2019,1639
756,CLSmith15,349,BetterBot,397,1676,1507
757,Anita,446,BetterBot,397,1651,1614
758,Anita,360,STEEBot,310,1884,1522
759,BB-8,341,HastyBot,438,1614,1500
760,BB-8,379,HastyBot,375,1614,1500
764,Tundhey_S,406,STEEBot,445,2076,2028
765,Xerxes,352,BetterBot,396,2024,1875
766,Olympicnaija,314,STEEBot,466,2111,1994
767,Banman1,366,STEEBot,314,1825,1648
768,pandorable,340,BetterBot,440,1789,1678
769,pandorable,230,BetterBot,454,1867,1551
770,Lola,366,STEEBot,377,2071,1993
771,BeanzCyclones,315,STEEBot,463,2119,1999
772,BeanzCyclones,442,STEEBot,404,2127,1990
773,Puttapong,462,HastyBot,427,2298,2081
774,BB-8,378,HastyBot,323,1614,1500
775,sungoer,465,HastyBot,468,2041,1798
777,Trayz,432,STEEBot,370,2099,2001
778,Zynx,372,BetterBot,373,1996,1872
779,BB-8,360,HastyBot,424,1640,1500
780,pandorable,321,BetterBot,397,1823,1664
783,tarkovsky7,326,HastyBot,470,2019,1920
784,edenchoo,351,HastyBot,428,2273,2063
785,chrisdon8tsalot,418,BetterBot,379,1800,1644
787,jodel,415,BetterBot,431,1991,2143
789,lsutiger,426,BetterBot,459,1679,1752
790,pandorable,347,BetterBot,374,1858,1687
792,robint,348,STEEBot,427,1857,1640
794,LeChamp21,352,BetterBot,325,1928,1680
795,MSHS-21LEEJINYIH,478,STEEBot,511,2042,1821
796,supriya,393,HastyBot,427,2226,2011
798,wagyus,409,HastyBot,410,2194,2098
799,CobaltBlue,300,BetterBot,309,1621,1500
802,squashy,390,BetterBot,477,1966,2159
803,Nursaidatul,242,HastyBot,498,2215,1232
804,verajoan,404,STEEBot,441,2084,1862
805,Goldenlamb,480,STEEBot,413,2141,2100
806,bobcubed,328,BetterBot,340,1675,1649
807,sungoer,392,HastyBot,395,1980,1862
808,Bingobabe,319,BetterBot,489,1659,1537
809,UcheVictor,360,STEEBot,445,2132,1948
810,ji1222,474,HastyBot,398,2222,1712
816,Mollygardner,451,STEEBot,429,1831,1503
817,talulah,427,STEEBot,388,1884,1579
819,BB-8,306,HastyBot,419,1635,1500
821,thisguy,249,HastyBot,516,1923,1830
822,deathstar,294,STEEBot,388,1840,1660
823,Rexington,369,STEEBot,394,2093,2030
825,Kovert,426,BetterBot,385,1704,1738
826,snorkl,399,STEEBot,392,2177,1953
827,MSHS-21KADMUSLEE,385,STEEBot,534,2139,1793
829,Matt_86,336,STEEBot,478,2214,1937
830,pandorable,340,BetterBot,333,1812,1813
831,UcheVictor,422,STEEBot,490,2162,1959
832,Okosagah,420,HastyBot,505,2249,2169
833,Brianm,569,HastyBot,636,1948,1600
834,HenryLou,383,BetterBot,386,1963,1638
835,kar2008,393,STEEBot,588,1893,1817
836,FEDERATIONofSOLARIA,48,HastyBot,847,2279,1230
840,NoelL,261,HastyBot,477,2189,2021
841,ChsrQat,399,BetterBot,397,1711,1628
843,pandorable,398,BetterBot,302,1829,1602
844,pandorable,255,BetterBot,429,1845,1613
846,jocelot,225,BetterBot,336,1760,1552
848,BB-8,574,HastyBot,373,1664,1500
849,BB-8,407,HastyBot,328,1635,1500
850,BB-8,300,HastyBot,352,1664,1500
851,Crookshanks,383,BetterBot,436,1978,1990
852,Yracivc,396,STEEBot,562,2169,2164
853,Xerxes,395,BetterBot,358,1934,1841
855,Goldenlamb,382,STEEBot,443,2141,2040
856,deathstar,345,STEEBot,388,1843,1598
857,royster,406,HastyBot,352,1938,1773
859,BB-8,459,HastyBot,414,1614,1500
863,Goldenlamb,429,STEEBot,402,2154,2087
864,Yasiru,323,BetterBot,408,1988,2098
865,stevy,296,BetterBot,419,1640,1500
866,stevy,391,STEEBot,406,1874,1500
868,Raash,326,HastyBot,509,2234,2031
869,BB-8,444,HastyBot,313,1664,1500
870,Xerxes,364,BetterBot,438,2005,1844
871,BB-8,330,HastyBot,411,1614,1500
873,royster,283,HastyBot,523,2067,1751
